optimizer,lr,train_loss,val_loss,avg_harness_score
adamw,1e-05,2.8834,2.8679,0.5470
adamw,3e-05,2.8758,2.8588,0.5460
adamw,5e-05,2.8840,2.8622,0.5407
muon,5e-05,2.8838,2.8640,0.5424
muon,0.0001,2.9380,2.9015,0.5274
muon,0.0003,3.2533,3.1222,0.4570
muon,5e-05,2.8831,2.8626,0.5425
